geo_id,state_id,county_id,county_name,citizenship_total_population,citizenship_native_born,citizenship_foreign_born
0500000US28151,28,151,Washington County,47086,46444,642
0500000US28111,28,111,Perry County,12028,11990,38
0500000US28019,28,019,Choctaw County,8321,8292,29
0500000US28057,28,057,Itawamba County,23480,23272,208
0500000US28015,28,015,Carroll County,10129,10102,27
0500000US28043,28,043,Grenada County,21278,21208,70
0500000US28063,28,063,Jefferson County,7346,7299,47
0500000US28041,28,041,Greene County,13714,13525,189
0500000US28093,28,093,Marshall County,35787,35257,530
0500000US28119,28,119,Quitman County,7372,7335,37
0500000US28011,28,011,Bolivar County,32592,32100,492
0500000US28073,28,073,Lamar County,61223,59562,1661
0500000US28081,28,081,Lee County,84915,83261,1654
0500000US28113,28,113,Pike County,39737,39515,222
0500000US28135,28,135,Tallahatchie County,14361,13640,721
0500000US28129,28,129,Smith County,16063,15952,111
0500000US28131,28,131,Stone County,18375,18239,136
0500000US28149,28,149,Warren County,47075,46112,963
0500000US28023,28,023,Clarke County,15928,15888,40
0500000US28069,28,069,Kemper County,10107,10107,0
0500000US28097,28,097,Montgomery County,10198,10119,79
0500000US28105,28,105,Oktibbeha County,49481,47703,1778
0500000US28109,28,109,Pearl River County,55149,54299,850
0500000US28079,28,079,Leake County,22870,22421,449
0500000US28103,28,103,Noxubee County,10828,10717,111
0500000US28099,28,099,Neshoba County,29376,28988,388
0500000US28121,28,121,Rankin County,151240,147090,4150
0500000US28137,28,137,Tate County,28493,27944,549
0500000US28077,28,077,Lawrence County,12630,12588,42
0500000US28107,28,107,Panola County,34243,33841,402
0500000US28161,28,161,Yalobusha County,12421,12375,46
0500000US28017,28,017,Chickasaw County,17279,16937,342
0500000US28029,28,029,Copiah County,28721,28145,576
0500000US28039,28,039,George County,23710,23367,343
0500000US28049,28,049,Hinds County,241774,237444,4330
0500000US28101,28,101,Newton County,21524,21228,296
0500000US28145,28,145,Union County,28356,27682,674
0500000US28125,28,125,Sharkey County,4511,4435,76
0500000US28139,28,139,Tippah County,21990,21512,478
0500000US28035,28,035,Forrest County,75517,73429,2088
0500000US28045,28,045,Hancock County,46653,45759,894
0500000US28071,28,071,Lafayette County,53459,51582,1877
0500000US28055,28,055,Issaquena County,1328,1323,5
0500000US28087,28,087,Lowndes County,59437,58035,1402
0500000US28083,28,083,Leflore County,29804,29270,534
0500000US28157,28,157,Wilkinson County,8990,8990,0
0500000US28047,28,047,Harrison County,202626,192846,9780
0500000US28065,28,065,Jefferson Davis County,11495,11453,42
0500000US28085,28,085,Lincoln County,34432,34283,149
0500000US28123,28,123,Scott County,28415,26374,2041
