geo_id,state_id,county_id,county_name,disability_population_under_18,disability_population_18-64,disability_population_65_and_over,disability_under_18_with_disability,disability_18-64_with_disability,disability_64_and_over_with_disability
0500000US28151,28,151,Washington County,12326,27490,6821,738,5357,3074
0500000US28111,28,111,Perry County,2807,7110,2003,221,1873,1069
0500000US28019,28,019,Choctaw County,1804,4702,1689,144,1016,960
0500000US28057,28,057,Itawamba County,5117,14273,3862,154,2699,1745
0500000US28015,28,015,Carroll County,1969,5792,2202,39,885,1015
0500000US28043,28,043,Grenada County,5054,12295,3580,257,2460,1538
0500000US28063,28,063,Jefferson County,1688,4140,1046,6,488,323
0500000US28041,28,041,Greene County,2712,5897,1599,159,964,928
0500000US28093,28,093,Marshall County,7715,21045,5671,347,2605,1883
0500000US28119,28,119,Quitman County,1789,4267,1145,65,741,440
0500000US28011,28,011,Bolivar County,8137,19244,4529,466,3751,1970
0500000US28073,28,073,Lamar County,15440,37430,7659,664,5274,3211
0500000US28081,28,081,Lee County,21694,50752,11525,817,7459,4952
0500000US28113,28,113,Pike County,10437,22483,6173,538,3336,2815
0500000US28135,28,135,Tallahatchie County,2876,6168,1997,110,642,1033
0500000US28129,28,129,Smith County,3884,9227,2864,261,1349,1294
0500000US28131,28,131,Stone County,4036,11021,2704,199,1631,1400
0500000US28149,28,149,Warren County,11493,27851,7211,496,3773,3219
0500000US28023,28,023,Clarke County,3601,9162,3113,128,2017,1507
0500000US28069,28,069,Kemper County,1949,5861,1857,56,975,899
0500000US28097,28,097,Montgomery County,2327,5758,1986,207,1320,909
0500000US28105,28,105,Oktibbeha County,8646,35352,5150,291,3387,2087
0500000US28109,28,109,Pearl River County,12455,32215,9592,584,5763,4223
0500000US28079,28,079,Leake County,6093,12791,3308,490,2610,1916
0500000US28103,28,103,Noxubee County,2732,6273,1622,99,1204,886
0500000US28099,28,099,Neshoba County,8186,16447,4266,654,3163,2296
0500000US28121,28,121,Rankin County,35775,89231,20888,1708,9185,7794
0500000US28137,28,137,Tate County,6546,17111,4371,364,2048,1794
0500000US28077,28,077,Lawrence County,3090,7362,2167,116,959,778
0500000US28107,28,107,Panola County,8658,20318,5056,151,3917,2211
0500000US28161,28,161,Yalobusha County,2802,7156,2275,153,1014,878
0500000US28017,28,017,Chickasaw County,4301,9932,2682,209,1535,1044
0500000US28029,28,029,Copiah County,6712,17246,4610,207,2176,1718
0500000US28039,28,039,George County,6298,13574,3332,347,2667,1836
0500000US28049,28,049,Hinds County,59116,149315,30814,2144,15506,11522
0500000US28101,28,101,Newton County,5460,12545,3370,320,2273,1653
0500000US28145,28,145,Union County,7161,16428,4498,326,3163,1961
0500000US28125,28,125,Sharkey County,1093,2589,727,17,646,281
0500000US28139,28,139,Tippah County,5415,13017,3455,325,2563,1397
0500000US28035,28,035,Forrest County,17477,47868,9560,1390,9758,4769
0500000US28045,28,045,Hancock County,9939,27604,8890,682,5159,3122
0500000US28071,28,071,Lafayette County,9710,37324,5953,308,3535,2110
0500000US28055,28,055,Issaquena County,200,639,214,8,176,61
0500000US28087,28,087,Lowndes County,14031,34882,8568,411,3650,3287
0500000US28083,28,083,Leflore County,8252,17282,3746,113,1669,1265
0500000US28157,28,157,Wilkinson County,1931,4564,1409,111,1027,775
0500000US28047,28,047,Harrison County,48941,118159,27906,2640,16681,11322
0500000US28065,28,065,Jefferson Davis County,2337,6682,2366,136,1108,864
0500000US28085,28,085,Lincoln County,8317,20218,5341,122,3148,2027
0500000US28123,28,123,Scott County,7534,16619,4008,724,3644,2100
0500000US28159,28,159,Winston County,4191,10267,3471,235,1718,1639
0500000US28163,28,163,Yazoo County,6760,13326,3494,551,3007,1721
0500000US28009,28,009,Benton County,1800,4967,1406,67,764,677
0500000US28037,28,037,Franklin County,1863,4420,1391,50,538,639
0500000US28061,28,061,Jasper County,3778,9529,3165,69,1500,1448
0500000US28067,28,067,Jones County,17426,39672,10583,908,5917,4617
0500000US28095,28,095,Monroe County,8194,20791,6394,273,2569,2634
0500000US28133,28,133,Sunflower County,6085,13465,3113,128,1871,1343
0500000US28155,28,155,Webster County,2349,5715,1675,221,1116,793
0500000US28001,28,001,Adams County,6581,16982,5382,148,2703,1965
0500000US28025,28,025,Clay County,4615,11549,3373,119,980,1073
0500000US28031,28,031,Covington County,4778,11198,2862,325,1807,1513
0500000US28053,28,053,Humphreys County,2274,4894,1282,145,1083,538
0500000US29123,29,123,Madison County,2724,7075,2202,196,1495,1116
0500000US29229,29,229,Wright County,4515,10140,3447,237,2011,1433
0500000US29217,29,217,Vernon County,4816,11842,3567,195,1954,1466
0500000US29195,29,195,Saline County,5165,13556,3919,254,2053,1628
0500000US29147,29,147,Nodaway County,3693,14995,3047,173,1452,1041
0500000US29041,29,041,Chariton County,1731,3961,1629,59,525,704
0500000US29079,29,079,Grundy County,2330,5562,1978,75,693,830
0500000US29141,29,141,Morgan County,4544,10714,4506,257,1735,1465
