geo_id,state_id,county_id,county_name,employment_16_and_over_in_labor_force,employment_employed,employment_unemployed,employment_not_in_labor_force,employment_unemployment_rate
0500000US28151,28,151,Washington County,20174,17133,3041,15909,15.1
0500000US28111,28,111,Perry County,4928,4591,337,4557,6.8
0500000US28019,28,019,Choctaw County,3398,3097,301,3316,8.9
0500000US28057,28,057,Itawamba County,9923,9509,414,9026,4.2
0500000US28015,28,015,Carroll County,3843,3466,377,4561,9.8
0500000US28043,28,043,Grenada County,8958,8341,617,7924,6.9
0500000US28063,28,063,Jefferson County,2017,1865,152,3813,7.5
0500000US28041,28,041,Greene County,4297,3903,394,7073,9.2
0500000US28093,28,093,Marshall County,15249,14243,1006,13489,6.6
0500000US28119,28,119,Quitman County,3074,2280,794,2754,25.8
0500000US28011,28,011,Bolivar County,12061,10794,1267,13266,10.5
0500000US28073,28,073,Lamar County,30658,27694,2964,16495,9.7
0500000US28081,28,081,Lee County,40839,38207,2632,24535,6.4
0500000US28113,28,113,Pike County,15033,13927,1106,15520,7.4
0500000US28135,28,135,Tallahatchie County,4467,3833,634,7386,14.2
0500000US28129,28,129,Smith County,6795,6563,232,5798,3.4
0500000US28131,28,131,Stone County,8275,7874,401,6570,4.8
0500000US28149,28,149,Warren County,20877,19368,1509,15892,7.2
0500000US28023,28,023,Clarke County,6901,6337,564,5832,8.2
0500000US28069,28,069,Kemper County,3759,3499,260,4708,6.9
0500000US28097,28,097,Montgomery County,4331,3886,445,3764,10.3
0500000US28105,28,105,Oktibbeha County,23131,20852,2279,18521,9.9
0500000US28109,28,109,Pearl River County,23587,21599,1988,20515,8.4
0500000US28079,28,079,Leake County,9574,8521,1053,8069,11.0
0500000US28103,28,103,Noxubee County,4500,4046,454,3947,10.1
0500000US28099,28,099,Neshoba County,13154,12025,1129,8978,8.6
0500000US28121,28,121,Rankin County,76671,73418,3253,42739,4.2
0500000US28137,28,137,Tate County,12999,12012,987,9690,7.6
0500000US28077,28,077,Lawrence County,5176,4716,460,4669,8.9
0500000US28107,28,107,Panola County,13685,12702,983,12734,7.2
0500000US28161,28,161,Yalobusha County,5695,5442,253,4250,4.4
0500000US28017,28,017,Chickasaw County,7140,6729,411,6369,5.8
0500000US28029,28,029,Copiah County,11773,10523,1250,10922,10.6
0500000US28039,28,039,George County,9109,8266,843,9164,9.3
0500000US28049,28,049,Hinds County,116675,105648,11027,72082,9.5
0500000US28101,28,101,Newton County,8862,8250,612,7803,6.9
0500000US28145,28,145,Union County,12941,12120,821,9074,6.3
0500000US28125,28,125,Sharkey County,1784,1489,295,1758,16.5
0500000US28139,28,139,Tippah County,9596,8853,743,7464,7.7
0500000US28035,28,035,Forrest County,35925,32291,3634,23608,10.1
0500000US28045,28,045,Hancock County,20719,19029,1690,17078,8.2
0500000US28071,28,071,Lafayette County,26241,24456,1785,18457,6.8
