geo_id,state_id,county_id,county_name,family_structure_hh_total,family_structure_hh_with_one_or_more_under_18,family_structure_hh_with_none_under_18
0500000US28151,28,151,Washington County,18299,5694,12605
0500000US28111,28,111,Perry County,4563,1652,2911
0500000US28019,28,019,Choctaw County,3164,748,2416
0500000US28057,28,057,Itawamba County,8706,3081,5625
0500000US28015,28,015,Carroll County,3658,917,2741
0500000US28043,28,043,Grenada County,8224,2642,5582
0500000US28063,28,063,Jefferson County,2530,664,1866
0500000US28041,28,041,Greene County,4172,1149,3023
0500000US28093,28,093,Marshall County,13074,3576,9498
0500000US28119,28,119,Quitman County,3055,821,2234
0500000US28011,28,011,Bolivar County,12159,3985,8174
0500000US28073,28,073,Lamar County,22213,8113,14100
0500000US28081,28,081,Lee County,32267,10808,21459
0500000US28113,28,113,Pike County,14676,4567,10109
0500000US28135,28,135,Tallahatchie County,4253,1436,2817
0500000US28129,28,129,Smith County,5872,1801,4071
0500000US28131,28,131,Stone County,6135,1970,4165
0500000US28149,28,149,Warren County,18766,5822,12944
0500000US28023,28,023,Clarke County,6258,1883,4375
0500000US28069,28,069,Kemper County,3710,1113,2597
0500000US28097,28,097,Montgomery County,4619,1457,3162
0500000US28105,28,105,Oktibbeha County,17687,4700,12987
0500000US28109,28,109,Pearl River County,20752,6833,13919
0500000US28079,28,079,Leake County,8168,2842,5326
0500000US28103,28,103,Noxubee County,4020,1271,2749
0500000US28099,28,099,Neshoba County,10699,4055,6644
0500000US28121,28,121,Rankin County,55595,20494,35101
0500000US28137,28,137,Tate County,10264,3694,6570
0500000US28077,28,077,Lawrence County,4793,1610,3183
0500000US28107,28,107,Panola County,12447,4122,8325
0500000US28161,28,161,Yalobusha County,5161,1256,3905
0500000US28017,28,017,Chickasaw County,6426,2187,4239
0500000US28029,28,029,Copiah County,9623,3239,6384
0500000US28039,28,039,George County,7362,2111,5251
0500000US28049,28,049,Hinds County,88705,28986,59719
0500000US28101,28,101,Newton County,8042,3005,5037
0500000US28145,28,145,Union County,9951,3020,6931
0500000US28125,28,125,Sharkey County,1755,533,1222
0500000US28139,28,139,Tippah County,7983,2549,5434
0500000US28035,28,035,Forrest County,28033,9102,18931
0500000US28045,28,045,Hancock County,19519,6278,13241
0500000US28071,28,071,Lafayette County,19317,5713,13604
0500000US28055,28,055,Issaquena County,484,105,379
0500000US28087,28,087,Lowndes County,22742,7230,15512
0500000US28083,28,083,Leflore County,10224,3612,6612
