geo_id,state_id,county_id,county_name,industry_agriculture_forestry_fishing_and_hunting_and_mining,industry_construction,industry_manufacturing,industry_wholesale_trade,industry_retail_trade,industry_transportation_and_warehousing_and_utilities,industry_information,industry_finance_and_insurance_real_estate_and_rental_and_leasing,industry_professional_scientific_management_administrative_and_waste_management_services,industry_educational_services_health_care_and_social_assistance,industry_arts_entertainment_recreation_accommodation_and_food_services,industry_other_services_except_public_administration,industry_public_administration
0500000US28151,28,151,Washington County,406,913,1363,399,2622,1037,311,607,990,4773,1718,720,1274
0500000US28111,28,111,Perry County,178,467,656,108,422,324,42,88,349,1020,362,256,319
0500000US28019,28,019,Choctaw County,185,295,478,39,422,218,16,42,121,869,44,178,190
0500000US28057,28,057,Itawamba County,113,730,2413,139,986,653,119,513,609,2030,547,405,252
0500000US28015,28,015,Carroll County,106,341,512,68,198,254,162,132,229,761,199,172,332
0500000US28043,28,043,Grenada County,155,545,1770,134,1006,547,12,278,347,2116,524,329,578
0500000US28063,28,063,Jefferson County,73,45,154,155,191,95,0,8,40,923,57,14,110
0500000US28041,28,041,Greene County,310,797,463,25,218,197,156,170,63,816,130,127,431
0500000US28093,28,093,Marshall County,97,1326,2793,495,1670,1536,160,383,968,2770,738,770,537
0500000US28119,28,119,Quitman County,170,145,230,40,244,120,2,76,115,469,343,78,248
0500000US28011,28,011,Bolivar County,640,464,1288,273,1428,439,66,289,488,3301,870,507,741
0500000US28073,28,073,Lamar County,1027,1641,2620,582,3221,1590,477,1959,1515,8357,2166,1348,1191
0500000US28081,28,081,Lee County,452,1796,8326,686,4522,1929,609,2202,2184,9092,3164,1918,1327
0500000US28113,28,113,Pike County,813,904,1759,366,2391,945,130,382,917,2907,1326,542,545
0500000US28135,28,135,Tallahatchie County,441,219,504,164,344,153,22,168,169,840,267,171,371
0500000US28129,28,129,Smith County,523,578,1410,201,452,439,53,252,405,1524,181,251,294
0500000US28131,28,131,Stone County,352,842,809,108,710,653,67,245,264,2110,978,374,362
0500000US28149,28,149,Warren County,419,1514,2263,268,1788,1148,142,641,1846,4185,2781,1057,1316
0500000US28023,28,023,Clarke County,686,413,602,239,791,354,45,205,218,1918,220,284,362
0500000US28069,28,069,Kemper County,46,305,666,114,227,202,10,168,128,862,362,130,279
0500000US28097,28,097,Montgomery County,193,253,620,62,383,268,53,90,191,1166,346,199,62
0500000US28105,28,105,Oktibbeha County,218,727,1467,503,1841,548,98,694,1840,8792,2673,786,665
0500000US28109,28,109,Pearl River County,760,2150,1719,556,2739,1461,196,833,2101,5047,1904,971,1162
0500000US28079,28,079,Leake County,464,408,1792,74,984,419,94,406,472,1687,716,445,560
0500000US28103,28,103,Noxubee County,290,453,927,78,362,203,15,97,234,779,280,124,204
0500000US28099,28,099,Neshoba County,609,807,1294,158,1379,498,77,410,459,3373,1728,562,671
0500000US28121,28,121,Rankin County,711,5385,6836,2058,7420,3996,1210,4948,6806,18888,5916,4606,4638
0500000US28137,28,137,Tate County,248,1131,1394,545,1715,923,48,441,651,3145,880,577,314
0500000US28077,28,077,Lawrence County,536,460,777,149,442,150,7,79,219,1190,149,252,306
0500000US28107,28,107,Panola County,520,1099,2292,475,1494,772,70,719,423,3132,975,321,410
0500000US28161,28,161,Yalobusha County,119,475,1497,137,536,378,135,188,243,1120,183,103,328
0500000US28017,28,017,Chickasaw County,314,219,2618,134,823,287,35,168,201,1165,214,185,366
0500000US28029,28,029,Copiah County,498,663,1600,312,1290,698,250,374,592,2421,641,683,501
0500000US28039,28,039,George County,205,1250,1366,214,1187,261,55,218,403,1798,672,320,317
0500000US28049,28,049,Hinds County,688,5450,8406,2447,11414,5768,2036,5041,9707,29512,11190,5892,8097
0500000US28101,28,101,Newton County,442,554,1366,85,1038,378,147,266,447,2264,442,201,620
0500000US28145,28,145,Union County,217,665,3108,165,1838,716,95,376,666,2646,699,617,312
0500000US28125,28,125,Sharkey County,227,45,161,8,131,39,0,84,51,470,93,30,150
0500000US28139,28,139,Tippah County,198,520,2487,130,1171,397,57,510,296,2059,501,352,175
0500000US28035,28,035,Forrest County,375,1878,2621,956,4557,1447,382,1095,2632,9411,4360,1347,1230
0500000US28045,28,045,Hancock County,245,1920,1921,223,2340,801,206,1236,2211,3719,2614,750,843
0500000US28071,28,071,Lafayette County,335,1061,1781,307,2360,897,420,1341,2047,8455,3255,1032,1165
0500000US28055,28,055,Issaquena County,89,15,70,0,3,24,0,11,12,61,10,24,39
