geo_id,county_name,hh_with_computer_and_internet_total,hh_with_computer,hh_with_bb_internet_subscription,state_id,county_id
0500000US06033,"Lake County, California",25966,21733,18861,06,033
0500000US06043,"Mariposa County, California",7700,6710,5861,06,043
0500000US06115,"Yuba County, California",26179,23373,21034,06,115
0500000US06013,"Contra Costa County, California",392277,370116,353692,06,013
0500000US06035,"Lassen County, California",9493,7990,7227,06,035
0500000US06083,"Santa Barbara County, California",144962,132496,123720,06,083
0500000US06097,"Sonoma County, California",189339,176225,164929,06,097
0500000US06025,"Imperial County, California",44057,37309,32551,06,025
0500000US06051,"Mono County, California",4847,4428,4036,06,051
0500000US06001,"Alameda County, California",572870,535962,501197,06,001
0500000US06067,"Sacramento County, California",536029,499475,458851,06,067
0500000US06055,"Napa County, California",49032,45419,42930,06,055
0500000US06053,"Monterey County, California",126052,110447,101887,06,053
0500000US06091,"Sierra County, California",1241,979,909,06,091
0500000US06073,"San Diego County, California",1118980,1051246,993171,06,073
0500000US06113,"Yolo County, California",73510,68507,63619,06,113
0500000US06023,"Humboldt County, California",54267,48738,44023,06,023
0500000US06003,"Alpine County, California",299,272,254,06,003
0500000US06045,"Mendocino County, California",34090,29268,26465,06,045
0500000US06087,"Santa Cruz County, California",95756,87694,82710,06,087
0500000US06037,"Los Angeles County, California",3306109,2989974,2714350,06,037
0500000US06065,"Riverside County, California",718349,657216,608643,06,065
0500000US06085,"Santa Clara County, California",635525,605466,576421,06,085
0500000US06041,"Marin County, California",105258,99111,95274,06,041
0500000US06093,"Siskiyou County, California",19257,16453,14978,06,093
0500000US06089,"Shasta County, California",70473,62041,55518,06,089
0500000US06015,"Del Norte County, California",9799,8571,7523,06,015
0500000US06021,"Glenn County, California",10017,8341,6988,06,021
0500000US06007,"Butte County, California",86797,78815,72243,06,007
0500000US06063,"Plumas County, California",8047,6778,6104,06,063
0500000US06079,"San Luis Obispo County, California",105317,97444,90752,06,079
0500000US06029,"Kern County, California",267913,228712,205715,06,029
0500000US06059,"Orange County, California",1032373,974586,921485,06,059
0500000US06009,"Calaveras County, California",17417,15073,13567,06,009
0500000US06101,"Sutter County, California",32360,28723,26537,06,101
0500000US06081,"San Mateo County, California",261969,247758,234946,06,081
0500000US06109,"Tuolumne County, California",22427,19920,17533,06,109
0500000US06077,"San Joaquin County, California",226727,201039,181235,06,077
0500000US06005,"Amador County, California",14090,12577,11467,06,005
0500000US06047,"Merced County, California",79606,70974,63434,06,047
0500000US06049,"Modoc County, California",3660,2779,2539,06,049
0500000US06027,"Inyo County, California",8083,7256,6293,06,027
0500000US06099,"Stanislaus County, California",172682,155165,142962,06,099
0500000US06103,"Tehama County, California",24025,19945,17226,06,103
0500000US06069,"San Benito County, California",17740,16658,15757,06,069
0500000US06017,"El Dorado County, California",69172,64430,59285,06,017
0500000US06075,"San Francisco County, California",359673,330605,309382,06,075
0500000US06107,"Tulare County, California",136106,114238,100129,06,107
0500000US06057,"Nevada County, California",40904,37429,34503,06,057
0500000US06039,"Madera County, California",44759,39082,34355,06,039
0500000US06105,"Trinity County, California",5796,4750,3879,06,105
0500000US06071,"San Bernardino County, California",630633,574948,514950,06,071
0500000US06061,"Placer County, California",140661,132400,124285,06,061
0500000US06095,"Solano County, California",149067,138661,132179,06,095
0500000US06011,"Colusa County, California",7113,5976,5499,06,011
0500000US06031,"Kings County, California",42735,37560,32974,06,031
0500000US06019,"Fresno County, California",304624,267065,237426,06,019
0500000US06111,"Ventura County, California",271226,249158,235305,06,111
