geo_id,state_id,county_id,county_name,occupation_population_16_and_over_total,occupation_management_business_science_and_arts,occupation_service,occupation_sales_and_office,occupation_natural_resources_construction_and_maintenance,occupation_production_transporation_and_material_moving
0500000US06033,06,033,Lake County,23589,6424,6385,4546,3687,2547
0500000US06043,06,043,Mariposa County,7051,2043,2154,1485,657,712
0500000US06115,06,115,Yuba County,28954,7773,5950,6599,4331,4301
0500000US06013,06,013,Contra Costa County,547323,240244,96666,118637,42681,49095
0500000US06035,06,035,Lassen County,8788,2562,2328,1768,1032,1098
0500000US06083,06,083,Santa Barbara County,211751,75445,45727,41474,29716,19389
0500000US06097,06,097,Sonoma County,253421,95082,50577,53855,26694,27213
0500000US06025,06,025,Imperial County,59919,14834,14594,13571,8265,8655
0500000US06051,06,051,Mono County,8278,3167,2322,1466,779,544
0500000US06001,06,001,Alameda County,847170,416304,133684,159554,52574,85054
0500000US06067,06,067,Sacramento County,686019,267564,132177,159200,53759,73319
0500000US06055,06,055,Napa County,70888,25676,14669,14817,8097,7629
0500000US06053,06,053,Monterey County,185025,52799,36880,34992,38020,22334
0500000US06091,06,091,Sierra County,1251,346,235,201,282,187
0500000US06073,06,073,San Diego County,1564930,652475,304726,340038,119478,148213
0500000US06113,06,113,Yolo County,97374,43675,18245,16600,8470,10384
0500000US06023,06,023,Humboldt County,60970,20699,14302,13851,6020,6098
0500000US06003,06,003,Alpine County,366,114,79,76,59,38
0500000US06045,06,045,Mendocino County,37712,12135,8369,7867,5580,3761
0500000US06087,06,087,Santa Cruz County,134904,55912,25456,27338,14312,11886
0500000US06037,06,037,Los Angeles County,4869658,1801478,922427,1103131,370471,672151
0500000US06065,06,065,Riverside County,1007795,297244,213776,233962,113079,149734
0500000US06085,06,085,Santa Clara County,985838,523343,146473,172874,60230,82918
0500000US06041,06,041,Marin County,131425,71865,18884,26345,7511,6820
0500000US06093,06,093,Siskiyou County,16725,5545,3392,3436,2482,1870
0500000US06089,06,089,Shasta County,72392,23611,15821,17587,7609,7764
0500000US06015,06,015,Del Norte County,8823,2893,2787,1527,820,796
0500000US06021,06,021,Glenn County,10994,2459,2009,1948,2588,1990
0500000US06007,06,007,Butte County,94908,34326,20568,20485,8561,10968
0500000US06063,06,063,Plumas County,7536,2614,1852,1287,975,808
0500000US06079,06,079,San Luis Obispo County,129358,50946,26817,26782,13709,11104
0500000US06029,06,029,Kern County,339384,90646,63177,65664,71402,48495
0500000US06059,06,059,Orange County,1578079,658308,272860,373300,101631,171980
0500000US06009,06,009,Calaveras County,17114,5753,3360,4173,1977,1851
0500000US06101,06,101,Sutter County,38664,11579,6994,7993,6475,5623
0500000US06081,06,081,San Mateo County,409911,198720,69574,83257,24481,33879
0500000US06109,06,109,Tuolumne County,20930,6893,5782,4098,2143,2014
0500000US06077,06,077,San Joaquin County,305509,84675,56052,66378,42113,56291
0500000US06005,06,005,Amador County,13289,4355,3056,3171,1470,1237
0500000US06047,06,047,Merced County,102638,24599,19459,19554,19736,19290
0500000US06049,06,049,Modoc County,3125,1180,639,550,502,254
0500000US06027,06,027,Inyo County,8090,2650,1671,1830,1160,779
0500000US06099,06,099,Stanislaus County,222532,61960,39292,47315,32421,41544
0500000US06103,06,103,Tehama County,24265,6065,5561,5231,3630,3778
0500000US06069,06,069,San Benito County,28831,8302,5173,6189,4804,4363
0500000US06017,06,017,El Dorado County,83049,34435,15821,18931,6845,7017
0500000US06075,06,075,San Francisco County,515382,290413,83206,94034,16826,30903
0500000US06107,06,107,Tulare County,177236,45513,31838,34188,38802,26895
0500000US06057,06,057,Nevada County,43368,17889,8565,9699,3679,3536
0500000US06039,06,039,Madera County,57799,13596,10158,12550,13205,8290
0500000US06105,06,105,Trinity County,4758,1379,1321,850,595,613
0500000US06071,06,071,San Bernardino County,892435,259943,167117,206397,91515,167463
0500000US06061,06,061,Placer County,173493,77837,28898,42102,12355,12301
0500000US06095,06,095,Solano County,202713,67085,40951,45384,21989,27304
0500000US06011,06,011,Colusa County,9663,2275,1722,1602,2544,1520
0500000US06031,06,031,Kings County,53217,13114,11534,10374,10546,7649
0500000US06019,06,019,Fresno County,400175,118785,78632,84756,60550,57452
0500000US06111,06,111,Ventura County,412228,156980,70758,91629,48040,44821
