geo_id,state_id,county_id,county_name,race_total_population,race_hispanic_or_latino,race_not_hispanic_or_latino,race_american_indian_and_alaska_native,race_asian,race_black_or_african_american,race_native_hawaiian_and_other_pacific_islander,race_some_other_race,race_two_or_more,race_two_or_more_excluding_some_ther_and_three_or_more,race_two_or_more_including_some_other,race_white_alone
0500000US28151,28,151,Washington County,47086,729,46357,56,282,33893,0,38,167,167,0,11921
0500000US28111,28,111,Perry County,12028,181,11847,0,17,2368,0,16,147,147,0,9299
0500000US28019,28,019,Choctaw County,8321,33,8288,23,15,2594,8,0,35,35,0,5613
0500000US28057,28,057,Itawamba County,23480,360,23120,75,57,1658,7,2,132,132,0,21189
0500000US28015,28,015,Carroll County,10129,29,10100,6,0,3501,0,0,82,82,0,6511
0500000US28043,28,043,Grenada County,21278,140,21138,135,0,9205,0,0,115,115,0,11683
0500000US28063,28,063,Jefferson County,7346,28,7318,11,33,6310,0,0,6,6,0,958
0500000US28041,28,041,Greene County,13714,162,13552,53,0,3496,0,0,107,105,2,9896
0500000US28093,28,093,Marshall County,35787,1281,34506,15,24,17118,0,0,281,281,0,17068
0500000US28119,28,119,Quitman County,7372,107,7265,0,5,5282,0,0,13,13,0,1965
0500000US28011,28,011,Bolivar County,32592,701,31891,41,213,20869,0,0,189,189,0,10579
0500000US28073,28,073,Lamar County,61223,1601,59622,49,780,12240,0,0,1002,963,39,45551
0500000US28081,28,081,Lee County,84915,2228,82687,206,720,24653,6,381,753,733,20,55968
0500000US28113,28,113,Pike County,39737,686,39051,153,239,21177,4,0,144,144,0,17334
0500000US28135,28,135,Tallahatchie County,14361,1978,12383,22,206,7078,13,11,16,4,12,5037
0500000US28129,28,129,Smith County,16063,270,15793,0,69,3706,30,0,72,72,0,11916
0500000US28131,28,131,Stone County,18375,373,18002,66,0,3539,20,0,372,362,10,14005
0500000US28149,28,149,Warren County,47075,1023,46052,54,241,23124,9,6,332,332,0,22286
0500000US28023,28,023,Clarke County,15928,66,15862,10,0,5696,0,19,54,54,0,10083
0500000US28069,28,069,Kemper County,10107,132,9975,370,0,6156,0,0,10,10,0,3439
0500000US28097,28,097,Montgomery County,10198,135,10063,0,34,4414,0,0,293,291,2,5322
0500000US28105,28,105,Oktibbeha County,49481,818,48663,36,1502,18298,20,58,717,717,0,28032
0500000US28109,28,109,Pearl River County,55149,1673,53476,87,183,7037,0,62,962,945,17,45145
0500000US28079,28,079,Leake County,22870,1035,21835,1289,85,9550,0,0,117,117,0,10794
0500000US28103,28,103,Noxubee County,10828,148,10680,9,4,7820,0,0,48,48,0,2799
0500000US28099,28,099,Neshoba County,29376,599,28777,4666,136,6183,8,0,565,556,9,17219
0500000US28121,28,121,Rankin County,151240,4141,147099,206,1738,30917,41,145,1605,1597,8,112447
0500000US28137,28,137,Tate County,28493,760,27733,40,52,8352,51,0,853,826,27,18385
0500000US28077,28,077,Lawrence County,12630,79,12551,10,16,4193,0,0,97,97,0,8235
0500000US28107,28,107,Panola County,34243,693,33550,59,6,17021,11,87,271,271,0,16095
0500000US28161,28,161,Yalobusha County,12421,198,12223,5,8,4970,0,0,25,25,0,7215
0500000US28017,28,017,Chickasaw County,17279,815,16464,21,12,7505,0,18,281,261,20,8627
0500000US28029,28,029,Copiah County,28721,910,27811,9,92,14895,0,18,144,144,0,12653
0500000US28039,28,039,George County,23710,652,23058,227,98,1908,0,0,109,109,0,20716
0500000US28049,28,049,Hinds County,241774,3741,238033,239,1890,173948,53,296,1392,1343,49,60215
0500000US28101,28,101,Newton County,21524,402,21122,1109,110,6519,0,2,233,209,24,13149
0500000US28145,28,145,Union County,28356,1208,27148,0,112,4145,49,0,600,581,19,22242
