geo_id,state_id,county_id,county_name,sex_total_men,sex_total_women
0500000US28151,28,151,Washington County,22018,25068
0500000US28111,28,111,Perry County,5845,6183
0500000US28019,28,019,Choctaw County,4174,4147
0500000US28057,28,057,Itawamba County,11821,11659
0500000US28015,28,015,Carroll County,5116,5013
0500000US28043,28,043,Grenada County,10103,11175
0500000US28063,28,063,Jefferson County,3642,3704
0500000US28041,28,041,Greene County,8294,5420
0500000US28093,28,093,Marshall County,17736,18051
0500000US28119,28,119,Quitman County,3476,3896
0500000US28011,28,011,Bolivar County,15365,17227
0500000US28073,28,073,Lamar County,29243,31980
0500000US28081,28,081,Lee County,40526,44389
0500000US28113,28,113,Pike County,18836,20901
0500000US28135,28,135,Tallahatchie County,8012,6349
0500000US28129,28,129,Smith County,7847,8216
0500000US28131,28,131,Stone County,9367,9008
0500000US28149,28,149,Warren County,22428,24647
0500000US28023,28,023,Clarke County,7443,8485
0500000US28069,28,069,Kemper County,5170,4937
0500000US28097,28,097,Montgomery County,4769,5429
0500000US28105,28,105,Oktibbeha County,24863,24618
0500000US28109,28,109,Pearl River County,27263,27886
0500000US28079,28,079,Leake County,11533,11337
0500000US28103,28,103,Noxubee County,5127,5701
0500000US28099,28,099,Neshoba County,13988,15388
0500000US28121,28,121,Rankin County,73041,78199
0500000US28137,28,137,Tate County,13828,14665
0500000US28077,28,077,Lawrence County,6130,6500
0500000US28107,28,107,Panola County,16549,17694
0500000US28161,28,161,Yalobusha County,6085,6336
0500000US28017,28,017,Chickasaw County,8331,8948
0500000US28029,28,029,Copiah County,13704,15017
0500000US28039,28,039,George County,12008,11702
0500000US28049,28,049,Hinds County,112877,128897
0500000US28101,28,101,Newton County,10142,11382
0500000US28145,28,145,Union County,13942,14414
0500000US28125,28,125,Sharkey County,2147,2364
0500000US28139,28,139,Tippah County,10673,11317
0500000US28035,28,035,Forrest County,35944,39573
0500000US28045,28,045,Hancock County,22779,23874
0500000US28071,28,071,Lafayette County,25974,27485
0500000US28055,28,055,Issaquena County,807,521
0500000US28087,28,087,Lowndes County,28365,31072
0500000US28083,28,083,Leflore County,13916,15888
0500000US28157,28,157,Wilkinson County,4816,4174
0500000US28047,28,047,Harrison County,99750,102876
0500000US28065,28,065,Jefferson Davis County,5543,5952
0500000US28085,28,085,Lincoln County,16255,18177
0500000US28123,28,123,Scott County,13870,14545
0500000US28159,28,159,Winston County,8942,9416
0500000US28163,28,163,Yazoo County,15543,12431
0500000US28009,28,009,Benton County,4122,4131
0500000US28037,28,037,Franklin County,3706,4051
0500000US28061,28,061,Jasper County,8048,8481
0500000US28067,28,067,Jones County,33352,35102
0500000US28095,28,095,Monroe County,17107,18733
0500000US28133,28,133,Sunflower County,13927,12605
0500000US28155,28,155,Webster County,4788,5040
0500000US28001,28,001,Adams County,16217,15330
0500000US28025,28,025,Clay County,9177,10631
0500000US28031,28,031,Covington County,9252,9839
0500000US28053,28,053,Humphreys County,3990,4549
0500000US29123,29,123,Madison County,6049,6156
0500000US29229,29,229,Wright County,9029,9264
0500000US29217,29,217,Vernon County,10088,10603
0500000US29195,29,195,Saline County,11559,11543
0500000US29147,29,147,Nodaway County,11225,11322
0500000US29041,29,041,Chariton County,3764,3782
0500000US29079,29,079,Grundy County,4906,5133
0500000US29141,29,141,Morgan County,9945,10192
