type,id,tech,urban_rural,tribal_non,speed,has_0,has_1,has_2,has_3more,Total Pop,id,County Name
county,6001,acfosw,R,N,0.2,0,3,0,13621,13624,06001,Alameda County
county,6001,acfosw,U,N,0.2,0,4,3,1657698,1657705,06001,Alameda County
county,6003,acfosw,R,N,0.2,0,0,0,962,962,06003,Alpine County
county,6003,acfosw,R,T,0.2,0,0,0,167,167,06003,Alpine County
county,6005,acfosw,R,N,0.2,0,1,0,24969,24970,06005,Amador County
county,6005,acfosw,R,T,0.2,0,0,0,13,13,06005,Amador County
county,6005,acfosw,U,N,0.2,0,0,0,14768,14768,06005,Amador County
county,6007,acfosw,R,N,0.2,0,0,0,46639,46639,06007,Butte County
county,6007,acfosw,R,T,0.2,0,0,0,52,52,06007,Butte County
county,6007,acfosw,U,N,0.2,0,0,0,169093,169093,06007,Butte County
county,6007,acfosw,U,T,0.2,0,0,0,3402,3402,06007,Butte County
county,6009,acfosw,R,N,0.2,0,0,0,34860,34860,06009,Calaveras County
county,6009,acfosw,U,N,0.2,0,0,0,11045,11045,06009,Calaveras County
county,6011,acfosw,R,N,0.2,0,0,0,7086,7086,06011,Colusa County
county,6011,acfosw,R,T,0.2,0,0,0,99,99,06011,Colusa County
county,6011,acfosw,U,N,0.2,0,0,0,14362,14362,06011,Colusa County
county,6013,acfosw,R,N,0.2,0,14,0,19972,19986,06013,Contra Costa County
county,6013,acfosw,U,N,0.2,0,0,0,1133534,1133534,06013,Contra Costa County
county,6013,acfosw,U,T,0.2,0,0,0,2,2,06013,Contra Costa County
county,6015,acfosw,R,N,0.2,0,0,0,8382,8382,06015,Del Norte County
county,6015,acfosw,R,T,0.2,0,0,0,996,996,06015,Del Norte County
county,6015,acfosw,U,N,0.2,0,0,0,18348,18348,06015,Del Norte County
county,6015,acfosw,U,T,0.2,0,0,0,86,86,06015,Del Norte County
county,6017,acfosw,R,N,0.2,0,0,0,70127,70127,06017,El Dorado County
county,6017,acfosw,R,T,0.2,0,0,0,109,109,06017,El Dorado County
