geo_id,broadband_tech,urban_rural,tribal_non,dl_speed,has_0,has_1,has_2,has_3more,total_pop
0500000US06001,All Broadband Connections,R,N,0.2,0,3,0,13621,13624
0500000US06001,All Broadband Connections,U,N,0.2,0,4,3,1657698,1657705
0500000US06003,All Broadband Connections,R,N,0.2,0,0,0,962,962
0500000US06003,All Broadband Connections,R,T,0.2,0,0,0,167,167
0500000US06005,All Broadband Connections,R,N,0.2,0,1,0,24969,24970
0500000US06005,All Broadband Connections,R,T,0.2,0,0,0,13,13
0500000US06005,All Broadband Connections,U,N,0.2,0,0,0,14768,14768
0500000US06007,All Broadband Connections,R,N,0.2,0,0,0,46639,46639
0500000US06007,All Broadband Connections,R,T,0.2,0,0,0,52,52
0500000US06007,All Broadband Connections,U,N,0.2,0,0,0,169093,169093
0500000US06007,All Broadband Connections,U,T,0.2,0,0,0,3402,3402
0500000US06009,All Broadband Connections,R,N,0.2,0,0,0,34860,34860
0500000US06009,All Broadband Connections,U,N,0.2,0,0,0,11045,11045
0500000US06011,All Broadband Connections,R,N,0.2,0,0,0,7086,7086
0500000US06011,All Broadband Connections,R,T,0.2,0,0,0,99,99
0500000US06011,All Broadband Connections,U,N,0.2,0,0,0,14362,14362
0500000US06013,All Broadband Connections,R,N,0.2,0,14,0,19972,19986
0500000US06013,All Broadband Connections,U,N,0.2,0,0,0,1133534,1133534
0500000US06013,All Broadband Connections,U,T,0.2,0,0,0,2,2
0500000US06015,All Broadband Connections,R,N,0.2,0,0,0,8382,8382
0500000US06015,All Broadband Connections,R,T,0.2,0,0,0,996,996
0500000US06015,All Broadband Connections,U,N,0.2,0,0,0,18348,18348
0500000US06015,All Broadband Connections,U,T,0.2,0,0,0,86,86
0500000US06017,All Broadband Connections,R,N,0.2,0,0,0,70127,70127
0500000US06017,All Broadband Connections,R,T,0.2,0,0,0,109,109
0500000US06017,All Broadband Connections,U,N,0.2,0,0,0,122605,122605
0500000US06019,All Broadband Connections,R,N,0.2,0,1,1,131389,131391
0500000US06019,All Broadband Connections,R,T,0.2,0,0,0,441,441
0500000US06019,All Broadband Connections,U,N,0.2,0,0,1,867261,867262
0500000US06021,All Broadband Connections,R,N,0.2,0,1,2,11713,11716
0500000US06021,All Broadband Connections,R,T,0.2,0,0,0,165,165
0500000US06021,All Broadband Connections,U,N,0.2,0,0,0,16512,16512
0500000US06023,All Broadband Connections,R,N,0.2,0,0,0,37592,37592
0500000US06023,All Broadband Connections,R,T,0.2,0,0,0,4051,4051
0500000US06023,All Broadband Connections,U,N,0.2,0,0,0,93833,93833
0500000US06023,All Broadband Connections,U,T,0.2,0,0,0,82,82
0500000US06025,All Broadband Connections,R,N,0.2,0,0,0,34290,34290
0500000US06025,All Broadband Connections,R,T,0.2,0,0,0,1997,1997
0500000US06025,All Broadband Connections,U,N,0.2,0,0,0,144385,144385
0500000US06025,All Broadband Connections,U,T,0.2,0,0,0,543,543
0500000US06027,All Broadband Connections,R,N,0.2,0,0,0,7613,7613
0500000US06027,All Broadband Connections,R,T,0.2,0,0,0,823,823
0500000US06027,All Broadband Connections,U,N,0.2,0,0,0,8092,8092
0500000US06027,All Broadband Connections,U,T,0.2,0,0,0,1511,1511
0500000US06029,All Broadband Connections,R,N,0.2,0,2,2,128887,128891
0500000US06029,All Broadband Connections,U,N,0.2,0,0,0,771306,771306
