type,id,tech,urban_rural,tribal_non,speed,has_0,has_1,has_2,has_3more
county,01001,acfosw,R,N,0.2,0,0,0,23972
county,01001,acfosw,U,N,0.2,0,0,0,31897
county,01003,acfosw,R,N,0.2,0,0,29,100756
county,01003,acfosw,U,N,0.2,0,0,3,122442
county,01005,acfosw,R,N,0.2,0,0,0,16323
county,01005,acfosw,U,N,0.2,0,0,0,8363
county,01007,acfosw,R,N,0.2,0,0,0,15393
county,01007,acfosw,U,N,0.2,0,0,0,7001
county,01009,acfosw,R,N,0.2,0,0,0,52071
county,01009,acfosw,U,N,0.2,0,0,0,5755
county,01011,acfosw,R,N,0.2,0,0,0,5557
county,01011,acfosw,U,N,0.2,0,0,0,4544
county,01013,acfosw,R,N,0.2,0,0,0,13889
county,01013,acfosw,U,N,0.2,0,0,0,5559
county,01015,acfosw,R,N,0.2,0,0,0,37820
county,01015,acfosw,U,N,0.2,0,0,0,75785
county,01017,acfosw,R,N,0.2,0,0,0,16216
county,01017,acfosw,U,N,0.2,0,0,0,17038
county,01019,acfosw,R,N,0.2,0,0,0,22531
county,01019,acfosw,U,N,0.2,0,0,0,3665
county,01021,acfosw,R,N,0.2,0,1,0,38585
county,01021,acfosw,U,N,0.2,0,0,0,5838
county,01023,acfosw,R,N,0.2,0,0,0,12589
county,01025,acfosw,R,N,0.2,0,0,0,17833
county,01025,acfosw,U,N,0.2,0,0,0,5789
county,01027,acfosw,R,N,0.2,0,0,0,13235
county,01029,acfosw,R,N,0.2,0,0,0,14910
county,01031,acfosw,R,N,0.2,0,0,0,25342
county,01031,acfosw,U,N,0.2,0,0,0,26998
county,01033,acfosw,R,N,0.2,0,3,1,24374
county,01033,acfosw,U,N,0.2,0,0,0,30863
county,01035,acfosw,R,N,0.2,0,0,0,10440
county,01035,acfosw,U,N,0.2,0,0,0,1627
county,01037,acfosw,R,N,0.2,0,0,0,10663
county,01039,acfosw,R,N,0.2,0,2,0,25850
county,01039,acfosw,U,N,0.2,0,0,0,11197
county,01041,acfosw,R,N,0.2,0,0,0,13772
county,01043,acfosw,R,N,0.2,0,0,1,61474
county,01043,acfosw,U,N,0.2,0,0,0,22293
county,01045,acfosw,R,N,0.2,0,0,0,25441
county,01045,acfosw,U,N,0.2,0,0,0,23731
county,01047,acfosw,R,N,0.2,0,0,0,17039
county,01047,acfosw,U,N,0.2,0,0,0,20157
county,01049,acfosw,R,N,0.2,0,0,0,64538
county,01049,acfosw,U,N,0.2,0,0,0,6975
county,01051,acfosw,R,N,0.2,0,0,1,44569
county,01051,acfosw,U,N,0.2,0,0,0,36638
county,01051,acfosw,U,T,0.2,0,0,0,1
county,01053,acfosw,R,N,0.2,0,0,0,22749
county,01053,acfosw,R,T,0.2,0,0,0,282
county,01053,acfosw,U,N,0.2,0,0,0,13602
county,01055,acfosw,R,N,0.2,0,0,0,38587
county,01055,acfosw,U,N,0.2,0,0,0,63681
county,01057,acfosw,R,N,0.2,0,0,0,13490
county,01057,acfosw,U,N,0.2,0,0,0,2812
county,01059,acfosw,R,N,0.2,0,0,0,22059
county,01059,acfosw,U,N,0.2,0,0,0,9303
county,01061,acfosw,R,N,0.2,0,0,0,23527
county,01061,acfosw,U,N,0.2,0,0,0,2744
county,01063,acfosw,R,N,0.2,0,0,0,8111
county,01065,acfosw,R,N,0.2,0,0,0,13175
county,01065,acfosw,U,N,0.2,0,0,0,1476
county,01067,acfosw,R,N,0.2,0,0,0,15107
county,01067,acfosw,U,N,0.2,0,0,0,2098
county,01069,acfosw,R,N,0.2,0,1,0,36520
county,01069,acfosw,U,N,0.2,0,0,0,69361
county,01071,acfosw,R,N,0.2,0,0,0,40215
county,01071,acfosw,U,N,0.2,0,0,0,11411
county,01073,acfosw,R,N,0.2,0,0,0,65267
county,01073,acfosw,U,N,0.2,0,0,0,593306
county,01075,acfosw,R,N,0.2,0,0,0,13805
county,01077,acfosw,R,N,0.2,0,0,0,46227
county,01077,acfosw,U,N,0.2,0,0,0,46502
