geo_id,urban_rural,total_pop
0500000US06001,R,13624
0500000US06001,U,1657705
0500000US06003,R,1129
0500000US06005,R,24983
0500000US06005,U,14768
0500000US06007,R,46691
0500000US06007,U,172495
0500000US06009,R,34860
0500000US06009,U,11045
0500000US06011,R,7185
0500000US06011,U,14362
0500000US06013,R,19986
0500000US06013,U,1133536
0500000US06015,R,9378
0500000US06015,U,18434
0500000US06017,R,70236
0500000US06017,U,122605
0500000US06019,R,131832
0500000US06019,U,867262
0500000US06021,R,11881
0500000US06021,U,16512
0500000US06023,R,41643
0500000US06023,U,93915
0500000US06025,R,36287
0500000US06025,U,144928
0500000US06027,R,8436
0500000US06027,U,9603
0500000US06029,R,128891
0500000US06029,U,771306
0500000US06031,R,18536
0500000US06031,U,134393
0500000US06033,R,21956
0500000US06033,U,42430
0500000US06035,R,20449
0500000US06035,U,10124
0500000US06037,R,91111
0500000US06037,U,9947996
0500000US06039,R,54965
0500000US06039,U,102362
0500000US06041,R,17849
0500000US06041,U,240977
0500000US06043,R,17203
0500000US06045,R,40098
0500000US06045,U,46651
0500000US06047,R,48277
0500000US06047,U,229400
0500000US06049,R,6305
0500000US06049,U,2536
0500000US06051,R,7149
0500000US06051,U,7295
0500000US06053,R,53536
0500000US06053,U,380525
0500000US06055,R,19567
0500000US06055,U,118177
0500000US06057,R,42767
0500000US06057,U,56988
0500000US06059,R,13078
0500000US06059,U,3162614
0500000US06061,R,69852
0500000US06061,U,328472
0500000US06063,R,13936
0500000US06063,U,4871
0500000US06065,R,179932
0500000US06065,U,2290606
0500000US06067,R,38970
0500000US06067,U,1513084
0500000US06069,R,18999
0500000US06069,U,43803
0500000US06071,R,165545
0500000US06071,U,2014528
0500000US06073,R,150426
0500000US06073,U,3187904
0500000US06075,R,2
0500000US06075,U,881547
0500000US06077,R,75478
0500000US06077,U,686664
0500000US06079,R,53126
0500000US06079,U,229985
0500000US06081,R,17621
0500000US06081,U,748952
0500000US06083,R,30528
0500000US06083,U,415971
0500000US06085,R,31218
0500000US06085,U,1896634
0500000US06087,R,35814
0500000US06087,U,237399
0500000US06089,R,53900
0500000US06089,U,126180
0500000US06091,R,2996
0500000US06091,U,9
0500000US06093,R,29643
0500000US06093,U,13896
0500000US06095,R,26513
0500000US06095,U,421128
0500000US06097,R,68383
0500000US06097,U,425953
0500000US06099,R,46795
0500000US06099,U,503865
0500000US06101,R,15383
0500000US06101,U,81588
0500000US06103,R,34290
0500000US06103,U,30794
0500000US06105,R,12285
0500000US06107,R,79552
0500000US06107,U,386641
0500000US06109,R,27002
0500000US06109,U,27476
0500000US06111,R,32979
0500000US06111,U,813027
0500000US06113,R,20392
0500000US06113,U,200108
0500000US06115,R,23600
0500000US06115,U,55068
