Year,geoid,type,name,centroid_lng,centroid_lat,bbox_arr,County,State
2019,6001,county,"Alameda County, CA",-121.912488,37.6471385,"{-122.373782,37.454186,-121.469214,37.905824}",Alameda County, CA
2019,6003,county,"Alpine County, CA",-119.7983522,38.6217831,"{-120.073331,38.32688,-119.542332,38.933324}",Alpine County, CA
2019,6005,county,"Amador County, CA",-120.6538563,38.4435501,"{-121.02771,38.217951,-120.072333,38.709029}",Amador County, CA
2019,6007,county,"Butte County, CA",-121.6019188,39.6659588,"{-122.069431,39.295621,-121.076695,40.152024}",Butte County, CA
2019,6009,county,"Calaveras County, CA",-120.5614415,38.1838996,"{-120.9955,37.831858,-120.019951,38.509869}",Calaveras County, CA
2019,6011,county,"Colusa County, CA",-122.2375629,39.1777385,"{-122.78509,38.92384,-121.795318,39.414593}",Colusa County, CA
2019,6013,county,"Contra Costa County, CA",-121.9515431,37.919479,"{-122.441584,37.718629,-121.534102,38.099878}",Contra Costa County, CA
2019,6015,county,"Del Norte County, CA",-124.003614,41.763958,"{-124.440707,41.380776,-123.517911,42.000787}",Del Norte County, CA
2019,6017,county,"El Dorado County, CA",-120.5342245,38.7856116,"{-121.141595,38.502349,-119.877248,39.067489}",El Dorado County, CA
2019,6019,county,"Fresno County, CA",-119.6550193,36.7610058,"{-120.918731,35.906914,-118.360586,37.585837}",Fresno County, CA
2019,6021,county,"Glenn County, CA",-122.4016998,39.6025462,"{-122.938413,39.382946,-121.856381,39.800561}",Glenn County, CA
2019,6023,county,"Humboldt County, CA",-123.9261757,40.7066554,"{-124.482003,40.001248,-123.40604,41.465846}",Humboldt County, CA
2019,6025,county,"Imperial County, CA",-115.3554001,33.0408143,"{-116.106272,32.61848,-114.46289,33.433814}",Imperial County, CA
2019,6027,county,"Inyo County, CA",-117.4039269,36.561977,"{-118.790031,35.786762,-115.648357,37.465238}",Inyo County, CA
2019,6029,county,"Kern County, CA",-118.7295064,35.3466288,"{-120.194152,34.790609,-117.616195,35.798202}",Kern County, CA
2019,6031,county,"Kings County, CA",-119.8155301,36.072478,"{-120.315068,35.788678,-119.474354,36.488962}",Kings County, CA
2019,6033,county,"Lake County, CA",-122.7467569,39.0948019,"{-123.094216,38.667506,-122.340172,39.5814}",Lake County, CA
2019,6035,county,"Lassen County, CA",-120.6299518,40.7210862,"{-121.332338,39.707658,-119.995598,41.184514}",Lassen County, CA
2019,6037,county,"Los Angeles County, CA",-118.2618616,34.1963983,"{-118.951721,32.75004,-117.646374,34.823302}",Los Angeles County, CA
2019,6039,county,"Madera County, CA",-119.7498023,37.2098213,"{-120.545536,36.763047,-119.022363,37.777986}",Madera County, CA
2019,6041,county,"Marin County, CA",-122.7459738,38.0518169,"{-123.134523,37.814947,-122.347454,38.321227}",Marin County, CA
2019,6043,county,"Mariposa County, CA",-119.9128613,37.5700295,"{-120.395441,37.183108,-119.307284,37.904122}",Mariposa County, CA
2019,6045,county,"Mendocino County, CA",-123.4428811,39.4323876,"{-124.134889,38.758119,-122.821355,40.00247}",Mendocino County, CA
2019,6047,county,"Merced County, CA",-120.7228019,37.1948063,"{-121.248647,36.740381,-120.052055,37.633364}",Merced County, CA
2019,6049,county,"Modoc County, CA",-120.7183704,41.5929185,"{-121.457213,41.183484,-119.998287,41.997465}",Modoc County, CA
2019,6051,county,"Mono County, CA",-118.8751668,37.9158363,"{-119.651509,37.462588,-117.832726,38.713212}",Mono County, CA
2019,6053,county,"Monterey County, CA",-121.3155723,36.240107,"{-122.051878,35.788977,-120.213979,36.919683}",Monterey County, CA
2019,6055,county,"Napa County, CA",-122.3259045,38.5070999,"{-122.646421,38.154933,-122.061379,38.864245}",Napa County, CA
2019,6057,county,"Nevada County, CA",-120.7713429,39.2975082,"{-121.279784,39.00516,-120.003773,39.52692}",Nevada County, CA
2019,6059,county,"Orange County, CA",-117.7772068,33.6756872,"{-118.1259,33.333992,-117.412987,33.947668}",Orange County, CA
2019,6061,county,"Placer County, CA",-120.7227181,39.0620323,"{-121.484442,38.711395,-120.002461,39.316496}",Placer County, CA
2019,6063,county,"Plumas County, CA",-120.8243709,39.9922953,"{-121.49788,39.597264,-120.099339,40.449715}",Plumas County, CA
2019,6065,county,"Riverside County, CA",-116.0022389,33.7298275,"{-117.676286,33.425888,-114.434949,34.079884}",Riverside County, CA
2019,6067,county,"Sacramento County, CA",-121.3404408,38.4500161,"{-121.862622,38.018421,-121.027084,38.736405}",Sacramento County, CA
2019,6069,county,"San Benito County, CA",-121.0858108,36.6116507,"{-121.644001,36.196848,-120.596562,36.988944}",San Benito County, CA
2019,6071,county,"San Bernardino County, CA",-116.1811967,34.8572198,"{-117.802539,33.870831,-114.131211,35.809236}",San Bernardino County, CA
2019,6073,county,"San Diego County, CA",-116.7761174,33.0236041,"{-117.611081,32.528832,-116.08094,33.505025}",San Diego County, CA
2019,6075,county,"San Francisco County, CA",-123.0322294,37.7272391,"{-123.173825,37.63983,-122.28178,37.929824}",San Francisco County, CA
2019,6077,county,"San Joaquin County, CA",-121.272244,37.9349815,"{-121.585078,37.481783,-120.917007,38.300252}",San Joaquin County, CA
2019,6079,county,"San Luis Obispo County, CA",-120.4475445,35.3852242,"{-121.438176,34.897475,-119.472515,35.796655}",San Luis Obispo County, CA
2019,6081,county,"San Mateo County, CA",-122.3715457,37.4146725,"{-122.588177,37.053858,-122.081473,37.708431}",San Mateo County, CA
2019,6083,county,"Santa Barbara County, CA",-120.0399729,34.5370572,"{-120.734382,33.411024,-118.962728,35.114678}",Santa Barbara County, CA
2019,6085,county,"Santa Clara County, CA",-121.6905097,37.2206954,"{-122.202653,36.892976,-121.208178,37.484637}",Santa Clara County, CA
2019,6087,county,"Santa Cruz County, CA",-122.007205,37.0124883,"{-122.317682,36.8196,-121.581154,37.286055}",Santa Cruz County, CA
2019,6089,county,"Shasta County, CA",-122.0435556,40.7605142,"{-123.068838,40.285375,-121.319976,41.184978}",Shasta County, CA
2019,6091,county,"Sierra County, CA",-120.5219926,39.5769252,"{-121.058203,39.391558,-120.00082,39.776877}",Sierra County, CA
2019,6093,county,"Siskiyou County, CA",-122.5332868,41.5879861,"{-123.719174,40.992193,-121.445994,42.009503}",Siskiyou County, CA
2019,6095,county,"Solano County, CA",-121.939594,38.2672255,"{-122.40697,38.031721,-121.593273,38.53905}",Solano County, CA
2019,6097,county,"Sonoma County, CA",-122.9261095,38.5251824,"{-123.632497,38.07326,-122.347454,38.852916}",Sonoma County, CA
2019,6099,county,"Stanislaus County, CA",-121.0028311,37.5623162,"{-121.486775,37.134774,-120.387329,38.077421}",Stanislaus County, CA
2019,6101,county,"Sutter County, CA",-121.7039397,39.0361898,"{-121.948294,38.734598,-121.414375,39.305668}",Sutter County, CA
2019,6103,county,"Tehama County, CA",-122.2322737,40.1261573,"{-123.066009,39.797385,-121.342264,40.453133}",Tehama County, CA
2019,6105,county,"Trinity County, CA",-123.114476,40.6478033,"{-123.623891,39.977015,-122.445453,41.368139}",Trinity County, CA
2019,6107,county,"Tulare County, CA",-118.7810551,36.2288339,"{-119.573194,35.789161,-117.980761,36.744816}",Tulare County, CA
2019,6109,county,"Tuolumne County, CA",-119.9647335,38.0214344,"{-120.653274,37.633704,-119.196182,38.433521}",Tuolumne County, CA
2019,6111,county,"Ventura County, CA",-119.1331432,34.3587415,"{-119.636302,33.163493,-118.632495,34.901274}",Ventura County, CA
2019,6113,county,"Yolo County, CA",-121.9024413,38.6795955,"{-122.422048,38.313048,-121.501017,38.92593}",Yolo County, CA
2019,6115,county,"Yuba County, CA",-121.3442587,39.27013,"{-121.636368,38.918348,-121.009477,39.639459}",Yuba County, CA
