,avg_household_size,level_up_access_pop_percent,sex_total_men,sex_total_women,race_hispanic_or_latino,race_not_hispanic_or_latino,race_american_indian_and_alaska_native,race_asian,race_black_or_african_american,race_native_hawaiian_and_other_pacific_islander,race_some_other_race,race_two_or_more,race_two_or_more_excluding_some_ther_and_three_or_more,race_two_or_more_including_some_other,race_white_alone,occupation_population_16_and_over_total,occupation_management_business_science_and_arts,occupation_service,occupation_sales_and_office,occupation_natural_resources_construction_and_maintenance,occupation_production_transporation_and_material_moving,hh_with_computer_and_internet_total,hh_with_computer,hh_with_bb_internet_subscription,industry_agriculture_forestry_fishing_and_hunting_and_mining,industry_construction,industry_manufacturing,industry_wholesale_trade,industry_retail_trade,industry_transportation_and_warehousing_and_utilities,industry_information,industry_finance_and_insurance_real_estate_and_rental_and_leasing,industry_professional_scientific_management_administrative_and_waste_management_services,industry_educational_services_health_care_and_social_assistance,industry_arts_entertainment_recreation_accommodation_and_food_services,industry_other_services_except_public_administration,industry_public_administration,hh_with_income_total,hh_with_income_less_than_10000,hh_with_income_10000-14999,hh_with_income_15000-24999,hh_with_income_25000-34999,hh_with_income_35000-49999,hh_with_income50000-74999,hh_with_income_75000-99999,hh_with_income_100000-149999,hh_with_income_150000-199999,hh_with_income_200000_and_greater,hh_median_income,hh_mean_income,family_structure_hh_total,family_structure_hh_with_one_or_more_under_18,family_structure_hh_with_none_under_18,employment_16_and_over_in_labor_force,employment_employed,employment_unemployed,employment_not_in_labor_force,employment_%_unemployment_rate,%_eduction_population_25_and_over_less_than_9th_grade,%_eduction_population_25_and_over_9th-12th_no_diploma,%_eduction_population_25_and_over_high_school_graduate,%_eduction_population_25_and_over_some_college_no_degree,%_eduction_population_25_and_over_associates_degree,%_eduction_population_25_and_over_bachelors_degree,%_eduction_population_25_and_over_graduate_or_professional_degree,disability_population_under_18,disability_population_18-64,disability_population_65_and_over,disability_under_18_with_disability,disability_18-64_with_disability,disability_64_and_over_with_disability,citizenship_native_born,citizenship_foreign_born,age_under_5,age_5-9,age_10-14,age_15-19,age_20-24,age_25-34,age_35-44,age_45-54,age_55-59,age_60-64,age_65-74,age_75-84,age_85_and_over
avg_household_size,1,0.274861104,0.224755882,0.22194633,0.249151037,0.195373332,0.206504984,0.15809904,0.17341363,0.199276118,0.153455738,0.205019004,0.204753082,0.201087688,0.208879928,0.20441132,0.174121296,0.205456903,0.202276459,0.298094202,0.227932845,0.205102294,0.20392485,0.203601782,0.495720538,0.228996862,0.206566927,0.20565898,0.218973696,0.216399677,0.116195853,0.17269779,0.163883823,0.206611564,0.183586262,0.184984499,0.240205035,0.205102294,0.196670997,0.193916915,0.2096286,0.216058218,0.215558179,0.217275297,0.213757025,0.204508145,0.189167215,0.147665345,0.10982773,0.096158279,0.205102294,0.243655028,0.184638407,0.207143877,0.20441132,0.242527622,0.226530265,0.468099306,0.733426038,0.424127387,-0.109881412,-0.424574101,-0.503837676,-0.118761908,-0.134034916,0.257816794,0.212665252,0.204287505,0.285666363,0.239478986,0.215354536,0.237248331,0.191106832,0.252014781,0.260955187,0.261586402,0.248570332,0.229238871,0.208846264,0.21457502,0.213193218,0.212748276,0.205791509,0.206648037,0.20472551,0.19194088
level_up_access_pop_percent,0.274861104,1,0.318977618,0.316732907,0.265633239,0.35336623,0.364732199,0.314095373,0.24818838,0.367143436,0.294549408,0.380643674,0.383112767,0.322013125,0.378346663,0.316025571,0.327973059,0.308152732,0.304758979,0.336556465,0.281893372,0.321522128,0.3249664,0.329011599,0.289276351,0.323033524,0.302908226,0.281169578,0.31733096,0.285242791,0.243834922,0.316167607,0.327601365,0.319177652,0.297836804,0.291053455,0.353746695,0.321522128,0.284819812,0.281345644,0.284413471,0.293171507,0.297586781,0.311305912,0.323382282,0.337649239,0.354584967,0.354757642,0.447248922,0.444678119,0.321522128,0.325791445,0.318488872,0.31539956,0.316025571,0.303128392,0.316315775,-0.234219031,0.254534337,-0.059551867,-0.523245315,-0.520542173,-0.310275536,0.413413297,0.343072501,0.321773701,0.312908919,0.328289709,0.33253951,0.325702149,0.32075349,0.335066862,0.277249231,0.318675288,0.325345776,0.323531432,0.317394936,0.312025383,0.308510764,0.313143096,0.313708817,0.319618711,0.32421274,0.331012972,0.324275817,0.32082123
sex_total_men,0.224755882,0.318977618,1,0.999852829,0.982024823,0.987768312,0.914008651,0.934146114,0.954505696,0.861482369,0.977149785,0.965151693,0.962334473,0.973764855,0.971131738,0.99852768,0.984739374,0.998593166,0.997837808,0.98543703,0.989565511,0.999078176,0.998645911,0.997873204,0.31035424,0.996132349,0.979050014,0.990654121,0.998899182,0.981946609,0.950092725,0.98209035,0.975832339,0.998754149,0.995217825,0.995277375,0.954388474,0.999078176,0.990047808,0.982091418,0.988004599,0.991655785,0.994150785,0.997250597,0.998289993,0.994347039,0.974382483,0.919858017,0.217244892,0.235255574,0.999078176,0.998706407,0.996705636,0.998958269,0.99852768,0.993442197,0.999266824,-0.09888008,0.153828294,-0.002307765,-0.250469098,-0.383376384,-0.272910342,0.25270546,0.211251365,0.997315858,0.999518536,0.997898309,0.986759708,0.991919244,0.998523793,0.997478715,0.988094448,0.998172418,0.996675586,0.99657322,0.997517559,0.997807049,0.998117565,0.999274025,0.999041449,0.999104411,0.998933597,0.998217665,0.997661643,0.99568654
sex_total_women,0.22194633,0.316732907,0.999852829,1,0.982828968,0.987090646,0.911877963,0.933860061,0.956902338,0.862234128,0.979057496,0.964262645,0.961319968,0.975086405,0.969496193,0.998666264,0.984327782,0.998811782,0.998444613,0.984891656,0.990766728,0.999125173,0.998582186,0.99766332,0.305058921,0.996350159,0.9786156,0.992158454,0.999077825,0.983253563,0.951638738,0.98293057,0.975013554,0.999012802,0.995412109,0.996236099,0.953597484,0.999125173,0.990963553,0.983330361,0.988926836,0.992282374,0.994653743,0.997504567,0.998354586,0.993941925,0.973457326,0.918353804,0.214840854,0.233212283,0.999125173,0.998532315,0.996866848,0.999099983,0.998666264,0.993625533,0.999405955,-0.099347003,0.151565681,-0.004976336,-0.249072998,-0.379432152,-0.2696126,0.252334827,0.209425389,0.997152515,0.999689489,0.998065501,0.986763581,0.992280374,0.998815448,0.997029269,0.989019345,0.997823192,0.996463811,0.996463532,0.997545994,0.997510626,0.997834155,0.99933206,0.999361321,0.999424939,0.999176507,0.998404851,0.997799284,0.995958879
race_hispanic_or_latino,0.249151037,0.265633239,0.982024823,0.982828968,1,0.940719544,0.894650455,0.875204514,0.96261187,0.787520416,0.96328522,0.903889515,0.899377918,0.944409654,0.920171164,0.976120848,0.942035681,0.98311059,0.980609937,0.985197376,0.995505113,0.976587913,0.972813529,0.968874142,0.349294888,0.980895066,0.947274144,0.986532913,0.982699505,0.987707816,0.942887612,0.946035751,0.927686117,0.977751057,0.977420033,0.982442967,0.920458946,0.976587913,0.989736693,0.986842108,0.992884483,0.991784116,0.990111983,0.984600217,0.976101209,0.957992347,0.918733279,0.848307486,0.104053416,0.127814925,0.976587913,0.979826336,0.972406116,0.97796327,0.976120848,0.992198406,0.986200906,-0.028891738,0.206337012,0.084549362,-0.152718423,-0.317236649,-0.248187671,0.136343737,0.097311464,0.98523681,0.981708615,0.97419486,0.981652859,0.984487706,0.983214804,0.977255279,0.976479799,0.985262016,0.984314808,0.984233122,0.987534088,0.98582277,0.979536637,0.980256096,0.97969624,0.978878482,0.977181754,0.974766416,0.975030745,0.971272149
race_not_hispanic_or_latino,0.195373332,0.35336623,0.987768312,0.987090646,0.940719544,1,0.903470772,0.958273223,0.923774796,0.901268187,0.963953603,0.989841583,0.988420503,0.973237949,0.986248231,0.990351749,0.993619641,0.984626111,0.985726597,0.958219208,0.958610794,0.990873527,0.993181024,0.994976201,0.264028607,0.982024073,0.978811693,0.9684676,0.985494159,0.951448418,0.931663827,0.986565487,0.989189401,0.989493981,0.983280947,0.97984001,0.956319101,0.990873527,0.964109794,0.952382295,0.957732966,0.965035526,0.970877009,0.980954641,0.989867802,0.997594892,0.994034265,0.953930313,0.304940519,0.317921916,0.990873527,0.987251476,0.990202918,0.989578007,0.990351749,0.967526863,0.983161911,-0.15587062,0.103082014,-0.078246788,-0.325110872,-0.425275403,-0.283352775,0.343988946,0.300276653,0.980150132,0.987452967,0.990863803,0.964132677,0.971448599,0.984478896,0.986941279,0.971789335,0.981516091,0.97972131,0.979698221,0.978748491,0.980425135,0.986324774,0.988134037,0.988426006,0.98923359,0.990288026,0.990979296,0.989698225,0.989411241
race_american_indian_and_alaska_native,0.206504984,0.364732199,0.914008651,0.911877963,0.894650455,0.903470772,1,0.788277501,0.870478797,0.809162253,0.863886315,0.898494422,0.898518922,0.860650047,0.921646699,0.900159422,0.872379885,0.911261524,0.902250377,0.921714659,0.896889554,0.909166022,0.909135878,0.908827435,0.354990019,0.920514964,0.86120897,0.881716716,0.915317609,0.896306639,0.796312574,0.869962888,0.860253518,0.907368047,0.900593578,0.892997869,0.927689848,0.909166022,0.9056014,0.895023456,0.910124344,0.919870525,0.919969067,0.923015551,0.91781463,0.904644457,0.867968202,0.776599623,0.053639112,0.068451886,0.909166022,0.917829266,0.90235189,0.902306321,0.900159422,0.921617466,0.917612399,-0.010705627,0.110020278,0.078625592,-0.129858534,-0.26097054,-0.233694766,0.149293083,0.1003068,0.922007643,0.906503488,0.909186153,0.930767214,0.928788694,0.915888362,0.930355128,0.861909515,0.923065211,0.923618196,0.9203232,0.919950207,0.919562771,0.908610884,0.905734637,0.90242239,0.906583434,0.909074296,0.911747243,0.907703352,0.89702557
race_asian,0.15809904,0.314095373,0.934146114,0.933860061,0.875204514,0.958273223,0.788277501,1,0.867288153,0.863531491,0.928477004,0.941807772,0.938227163,0.964619084,0.907173246,0.947223255,0.974773392,0.927449465,0.933554584,0.882011249,0.902233769,0.940529059,0.943599612,0.945954577,0.186209773,0.916052993,0.968189525,0.923448625,0.926086011,0.889577753,0.939055318,0.948198142,0.980143597,0.940001969,0.930315428,0.931264726,0.859332717,0.940529059,0.904473691,0.89653587,0.890859788,0.893256125,0.899740138,0.911191123,0.92704675,0.949861453,0.975519761,0.984666888,0.374710542,0.385507238,0.940529059,0.931832079,0.942612167,0.944647965,0.947223255,0.898216808,0.923614663,-0.189933502,0.088336023,-0.104066577,-0.356969176,-0.481456864,-0.320507145,0.383205196,0.371813888,0.918107023,0.939219887,0.936701816,0.882033641,0.897891824,0.925193301,0.916960498,0.953137995,0.92056988,0.916863444,0.918197366,0.91426604,0.916426689,0.938943592,0.943112724,0.94189974,0.938402375,0.936838413,0.934900153,0.936838322,0.942404644
race_black_or_african_american,0.17341363,0.24818838,0.954505696,0.956902338,0.96261187,0.923774796,0.870478797,0.867288153,1,0.843952086,0.973786996,0.911249855,0.906745419,0.951339394,0.882620488,0.951804635,0.923944623,0.958515869,0.952738071,0.945260223,0.970078213,0.955293025,0.951150791,0.946261179,0.246297591,0.954059473,0.901619499,0.952576259,0.95395908,0.981637098,0.943433648,0.917058197,0.913025186,0.958579372,0.949424768,0.959708074,0.923839219,0.955293025,0.974202061,0.980602928,0.975127846,0.971449181,0.969012176,0.961301273,0.951602646,0.934291951,0.896672242,0.827221101,0.117485352,0.135843635,0.955293025,0.951838723,0.954627006,0.953722901,0.951804635,0.969284379,0.959490117,-0.051903758,0.128913837,0.031056859,-0.148738419,-0.289767155,-0.222832343,0.16912245,0.123601055,0.9525977,0.957516239,0.946822293,0.948114925,0.969622531,0.959963802,0.948358278,0.954684008,0.954981062,0.952854334,0.949500828,0.952884506,0.954851979,0.959615742,0.958289167,0.952946129,0.952358472,0.95426669,0.94882056,0.945796901,0.944315033
race_native_hawaiian_and_other_pacific_islander,0.199276118,0.367143436,0.861482369,0.862234128,0.787520416,0.901268187,0.809162253,0.863531491,0.843952086,1,0.864136849,0.939602604,0.939842613,0.896312442,0.880140241,0.864480513,0.876784653,0.857104142,0.856580025,0.827807169,0.824454858,0.869479452,0.873698105,0.876365934,0.181668408,0.859479706,0.831916837,0.825512718,0.857979516,0.840754949,0.792620067,0.86390167,0.874371131,0.869858494,0.847082935,0.847578637,0.914108951,0.869479452,0.833714644,0.827822884,0.827576437,0.838975628,0.845836161,0.860263141,0.871680447,0.882739472,0.886792824,0.845329415,0.347541466,0.350458189,0.869479452,0.868239089,0.867888803,0.863607854,0.864480513,0.841635697,0.856157983,-0.159105754,0.075163532,-0.107622801,-0.313462257,-0.432517334,-0.282956675,0.356173172,0.322310876,0.856557654,0.861018657,0.864897359,0.845377711,0.85960355,0.860565141,0.867782042,0.835240483,0.859102123,0.859158406,0.854688529,0.847589793,0.847733561,0.862801968,0.864747531,0.86102194,0.864060921,0.868790209,0.867330347,0.860146971,0.861632591
