ID,population,avg_household_size,level_up_access_pop_percent,sex_total_men,sex_total_women,race_hispanic_or_latino,race_not_hispanic_or_latino,race_american_indian_and_alaska_native,race_asian,race_black_or_african_american,race_native_hawaiian_and_other_pacific_islander,race_some_other_race,race_two_or_more,race_two_or_more_excluding_some_ther_and_three_or_more,race_two_or_more_including_some_other,race_white_alone,occupation_population_16_and_over_total,occupation_management_business_science_and_arts,occupation_service,occupation_sales_and_office,occupation_natural_resources_construction_and_maintenance,occupation_production_transporation_and_material_moving,hh_with_computer_and_internet_total,hh_with_computer,hh_with_bb_internet_subscription,industry_agriculture_forestry_fishing_and_hunting_and_mining,industry_construction,industry_manufacturing,industry_wholesale_trade,industry_retail_trade,industry_transportation_and_warehousing_and_utilities,industry_information,industry_finance_and_insurance_real_estate_and_rental_and_leasi,industry_professional_scientific_management_administrative_and_,industry_educational_services_health_care_and_social_assistance,industry_arts_entertainment_recreation_accommodation_and_food_s,industry_other_services_except_public_administration,industry_public_administration,hh_with_income_total,hh_with_income_less_than_10000,hh_with_income_10000-14999,hh_with_income_15000-24999,hh_with_income_25000-34999,hh_with_income_35000-49999,hh_with_income50000-74999,hh_with_income_75000-99999,hh_with_income_100000-149999,hh_with_income_150000-199999,hh_with_income_200000_and_greater,hh_median_income,hh_mean_income,family_structure_hh_total,family_structure_hh_with_one_or_more_under_18,family_structure_hh_with_none_under_18,employment_16_and_over_in_labor_force,employment_employed,employment_unemployed,employment_not_in_labor_force,edu_pop_over_25_less_than_9th_grade,edu_pop_over_25_9th-12th_no_diploma,edu_pop_over_25_high_school_graduate,edu_pop_over_25_some_college_no_degree,edu_pop_over_25_associates_degree,edu_pop_over_25_bachelors_degree,edu_pop_over_25_graduate_or_professional_degree,disability_population_under_18,disability_population_18-64,disability_population_65_and_over,disability_under_18_with_disability,disability_18-64_with_disability,disability_64_and_over_with_disability,citizenship_native_born,citizenship_foreign_born,age_under_5,age_5-9,age_10-14,age_15-19,age_20-24,age_25-34,age_35-44,age_45-54,age_55-59,age_60-64,age_65-74,age_75-84,age_85_and_over
"0500000US06033-Lake County,California",64148,2.43,0.8808902556456373,31879,32269,12830,51318,2090,642,1426,30,142,1365,1348,17,45623,23589,6424,6385,4546,3687,2547,25966,21733,18861,1658,2083,909,382,2759,1121,313,724,2590,5898,1978,1301,1873,25966,2374,2051,3203,3247,3607,4030,3178,2609,959,708,42475,60847,25966,6757,19209,26145,23589,2556,26171,5.6,9.2,30.1,27.8,11.5,10.3,5.5,13272,36442,13737,399,6505,5862,58466,5682,3683,3828,3496,3516,3231,6973,6706,8097,5137,5540,8591,3975,1375
"0500000US06043-Mariposa County,California",17540,2.13,0.40777771318956,8920,8620,1909,15631,390,243,166,54,20,633,627,6,14125,7051,2043,2154,1485,657,712,7700,6710,5861,270,304,348,92,816,244,74,214,739,1221,1791,167,771,7700,494,484,934,711,1133,1465,1060,873,384,162,51199,64590,7700,1922,5778,7727,7051,676,7284,3.2,6.4,26.5,30.6,9.8,14.6,8.8,2860,9845,4665,145,1528,1527,16293,1247,762,761,751,804,803,1885,1614,2284,1503,1683,2778,1556,356
"0500000US06115-Yuba County,California",75493,2.83,0.7587329028321554,38468,37025,20990,54503,643,4977,2340,292,126,4040,3982,58,42085,28954,7773,5950,6599,4331,4301,26179,23373,21034,1230,2700,1689,698,3754,1415,586,1215,2803,6188,2642,1246,2788,26179,1289,1879,2835,2497,3956,4744,3264,3591,1450,674,52624,67391,26179,10190,15989,31602,28954,2648,23343,7.6,10.3,23.1,31.2,11.0,11.7,4.9,20850,43487,9002,1049,6852,3671,66060,9433,6126,5796,5815,4955,5600,11930,9193,8410,4592,4001,5647,2311,1117
"0500000US06013-Contra Costa County,California",1133247,2.86,0.9766515072967832,553701,579546,288101,845146,2376,182135,93683,5251,3829,54921,53181,1740,502951,547323,240244,96666,118637,42681,49095,392277,370116,353692,3698,38721,36881,12747,56545,28780,15140,46505,88220,120380,49287,28545,21874,392277,13870,11757,21416,22514,34834,54684,48475,74344,43088,67295,93712,128079,392277,141689,250588,582886,547323,35563,318646,5.8,4.9,17.6,21.8,8.3,26.1,15.6,260902,699892,167209,9942,62588,54212,850039,283208,65505,73025,76328,72857,68013,143793,151683,164203,78858,69200,99537,48565,21680
"0500000US06035-Lassen County,California",31185,2.23,0.5175154548130704,20671,10514,5834,25351,847,436,2695,205,22,618,559,59,20528,8788,2562,2328,1768,1032,1098,9493,7990,7227,585,587,151,102,705,284,93,218,307,1945,614,253,2944,9493,497,609,941,909,1150,1979,1171,1388,599,250,56362,71097,9493,2417,7076,9358,8788,570,17347,3.8,13.4,33.2,27.8,9.7,8.0,4.1,4891,12457,4028,269,1807,1523,29559,1626,1384,1272,1477,1444,3218,6287,4353,3899,1803,1891,2504,1250,403
"0500000US06083-Santa Barbara County,California",443738,2.92,0.9260849408397333,222208,221530,200060,243678,1407,22996,7881,482,604,10952,10760,192,199356,211751,75445,45727,41474,29716,19389,144962,132496,123720,18824,11534,14778,4291,20694,6430,4161,9998,25068,49005,26135,11684,9149,144962,6864,5491,10816,11530,16958,23777,18558,23900,11941,15127,71657,101100,144962,48250,96712,225612,211751,13861,128019,12.2,6.8,17.9,21.5,7.7,20.0,13.8,98966,274274,63471,2890,20114,20329,342132,101606,28356,27457,27240,37445,49425,58974,50124,49960,25886,24096,35041,19841,9893
"0500000US06097-Sonoma County,California",501317,2.6,0.9502888723459348,245196,256121,132985,368332,2068,19720,7192,1406,2501,17208,16693,515,318237,253421,95082,50577,53855,26694,27213,189339,176225,164929,7049,20758,24459,7454,29076,9392,5027,14582,29868,53303,27492,14712,10249,189339,7132,6950,13121,13538,19516,32265,27194,33102,17769,18752,76753,102483,189339,53942,135397,266964,253421,13543,144290,6.2,5.8,18.8,24.8,9.5,22.0,12.9,100500,306907,89660,3453,30195,26665,418378,82939,25736,28607,28944,29922,30140,65417,61766,66429,35686,37573,55520,23956,11621
"0500000US06025-Imperial County,California",180216,3.87,0.8513975112435505,92250,87966,151019,29197,1076,2376,3906,307,120,1639,1598,41,19773,59919,14834,14594,13571,8265,8655,44057,37309,32551,5885,3089,2459,1409,8411,3829,472,1929,4356,15755,4803,2077,5445,44057,3622,4272,5700,4444,5498,7086,5127,5278,1709,1321,45834,63186,44057,18654,25403,70701,59919,10782,62868,16.9,14.2,24.5,23.8,6.3,9.9,4.6,51643,96863,22228,2119,11332,11106,124173,56043,15092,13588,14616,13576,14006,26210,21833,20565,9536,8748,12428,6979,3039
"0500000US06051-Mono County,California",14174,2.86,0.8278870119080587,7341,6833,3866,10308,342,336,40,0,80,276,276,0,9234,8278,3167,2322,1466,779,544,4847,4428,4036,396,668,209,7,779,274,88,456,641,988,3208,199,365,4847,140,102,267,339,745,1243,801,765,218,227,63018,80008,4847,898,3949,8540,8278,262,3177,6.5,4.8,22.8,28.1,7.2,23.3,7.4,2689,9340,2030,74,450,391,11685,2489,464,786,911,630,1341,2264,1563,1964,1314,907,1385,568,77
"0500000US06001-Alameda County,California",1643700,2.81,0.9899199977981594,807171,836529,369061,1274639,5288,483067,172329,13192,4977,72395,68394,4001,523391,847170,416304,133684,159554,52574,85054,572870,535962,501197,3521,45030,84427,21399,75870,42669,29583,52183,161984,183906,75316,42281,29001,572870,24255,21621,33723,33965,47322,76730,66253,104464,67134,97403,92574,122575,572870,194897,377973,892280,847170,45110,442149,6.2,5.8,17.6,17.9,6.5,26.4,19.5,344125,1078282,211721,9143,75373,68618,1111462,532238,97506,96428,95792,93865,103705,271867,244557,224507,106455,93101,126820,60948,28149
