geo_id,total_pop_2010,usda_id,description
0500000US06001,"1,510,271",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
0500000US06003,"1,175",8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
0500000US06005,"38,091",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
0500000US06007,"220,000",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
0500000US06009,"45,578",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
0500000US06011,"21,419",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
0500000US06013,"1,049,025",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
0500000US06015,"28,610",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
0500000US06017,"181,058",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
0500000US06019,"930,450",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
0500000US06021,"28,122",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
0500000US06023,"134,623",5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area                                                                                                                             "
0500000US06025,"174,528",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
0500000US06027,"18,546",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
0500000US06029,"839,631",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
0500000US06031,"152,982",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
0500000US06033,"64,665",4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
0500000US06035,"34,895",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
0500000US06037,"9,818,605",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
0500000US06039,"150,865",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
0500000US06041,"252,409",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
0500000US06043,"18,251",8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
0500000US06045,"87,841",4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
0500000US06047,"255,793",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
0500000US06049,"9,686",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
0500000US06051,"14,202",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
0500000US06053,"415,057",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
0500000US06055,"136,484",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
0500000US06057,"98,764",4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
0500000US06059,"3,010,232",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
0500000US06061,"348,432",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
0500000US06063,"20,007",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
0500000US06065,"2,189,641",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
0500000US06067,"1,418,788",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
0500000US06069,"55,269",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
0500000US06071,"2,035,210",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
0500000US06073,"3,095,313",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
0500000US06075,"805,235",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
0500000US06077,"685,306",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
0500000US06079,"269,637",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
0500000US06081,"718,451",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
0500000US06083,"423,895",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
0500000US06085,"1,781,642",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
0500000US06087,"262,382",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
0500000US06089,"177,223",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
0500000US06091,"3,240",8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
0500000US06093,"44,900",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
0500000US06095,"413,344",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
0500000US06097,"483,878",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
0500000US06099,"514,453",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
0500000US06101,"94,737",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
0500000US06103,"63,463",4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
0500000US06105,"13,786",8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
0500000US06107,"442,179",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
0500000US06109,"55,365",4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
0500000US06111,"823,318",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
0500000US06113,"200,849",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
0500000US06115,"72,155",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
